programAk,tradeName,displayTradeName,promptTradeName,socCode,description
14589,"Mold Maker, Die-Casting and Plastic Molding","Mold Maker, Die-Casting, and Plastic Molding","Mold Maker, Die-Casting, and Plastic Molding",51-4111.00,"A Mold Maker, Die-Casting, and Plastic Molding builds, repairs, and adjusts the metal molds used to shape plastic parts and die-cast products. They read drawings, machine and polish mold pieces, fit parts together, and test for smooth opening, closing, and cooling. Their work helps factories make accurate parts and keeps production running safely."
14641,Carpenter (Heavy-Highway),Carpenter,Carpenter (Heavy-Highway),47-2031.00,"A Carpenter in heavy-highway construction builds and installs wood forms, supports, and temporary structures used to shape concrete for bridges, roads, tunnels, and other large projects. They measure, cut, fasten, and brace materials, often working outdoors with saws, levels, and drills. Their work helps create strong structures and keeps transportation systems safe and functioning."
14651,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
14652,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
14695,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
14717,Machinist,Machinist,Machinist,51-4041.00,"A Machinist makes precise metal parts for machines, tools, and equipment. They read blueprints, set up lathes, mills, grinders, and computer-controlled machines, then cut, drill, and shape metal to exact sizes. They also check measurements and finish surfaces. Their work builds parts that fit properly and keeps vehicles, factories, and everyday equipment running safely."
14757,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
14800,Network Engineer,Network Engineer,Network Engineer,15-1212.00,"A Network Engineer designs, sets up, and maintains the computer networks that connect offices, devices, phones, and online systems. They install routers and switches, run and test connections, monitor performance, and fix outages or slowdowns. Their work keeps data moving, systems running, and workplaces connected and secure."
14866,Security Analyst,Security Analyst,Security Analyst,15-1212.00,"A Security Analyst protects an organization’s computer systems, networks, and data from cyber threats. They watch for suspicious activity, review alerts, test for weak spots, investigate breaches, and help set up tools and rules that block attacks. Their work helps keep information private, systems running, and online services safer for everyday use."
14899,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
14920,Cabinetmaker,Cabinet Maker,Cabinetmaker,51-7011.00,"A Cabinet Maker builds and repairs wooden cabinets, shelves, counters, and other fitted furniture for kitchens, bathrooms, stores, and offices. They measure spaces, cut and shape wood, assemble parts, install hardware, and fit finished pieces neatly into place. Their work creates useful storage and keeps rooms organized, durable, and attractive."
14948,Electro-Mechanical Technician,Electro-Mechanical Technician,Electro-Mechanical Technician,17-3024.00,"An Electro-Mechanical Technician installs, tests, repairs, and maintains machines that use both electrical parts and moving mechanical systems. They trace wiring, replace sensors or motors, adjust belts and gears, and use meters and tools to find problems. Their work keeps equipment running safely and smoothly in factories, buildings, and other workplaces."
14961,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
14962,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
14969,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
14983,Welder (Industrial),Welder,Welder (Industrial),51-4121.00,"An industrial Welder joins metal parts to build, repair, and maintain heavy equipment, machinery, pipes, and steel structures. They read drawings, measure and prepare metal, use welding torches and machines, and check that seams are strong and clean. Their work keeps factories, plants, and industrial equipment safe, solid, and running properly."
15003,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
15013,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
15043,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15064,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
15079,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15121,Boilermaker (Construction),Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
15155,Quality Assurance Auditor,Quality Assurance Auditor,Quality Assurance Auditor,19-4099.01,"A Quality Assurance Auditor checks whether a company’s products, services, or work processes meet set standards and rules. They review records, inspect work areas, watch how tasks are done, and write reports on problems they find. Their work helps catch mistakes, improve consistency, and keep products and services safe and reliable."
15229,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
15231,Project Manager,Project Manager,Project Manager,15-1299.09,"A Project Manager plans and leads a project from start to finish. They set schedules, track budgets, assign work, run meetings, solve problems, and keep workers, clients, and suppliers informed as the job moves forward. Their work helps teams stay organized, deadlines get met, and projects get built, delivered, or improved with fewer delays and mistakes."
15310,Offset Lithographic Press Operator,Offset Lithographic Press Operator,Offset Lithographic Press Operator,51-5112.00,"An Offset Lithographic Press Operator runs large printing presses that transfer ink from plates onto paper. They set up plates, load paper and ink, adjust rollers and controls, watch for color and alignment problems, and clean the press between jobs. Their work produces clear, accurate printed materials and keeps packaging, labels, books, and forms consistent."
15327,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
15408,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15410,Glazier,Glazier,Glazier,47-2121.00,"A Glazier installs, replaces, and repairs glass in windows, doors, storefronts, skylights, and display cases. They measure openings, cut and fit glass, set panels into frames, seal edges, and sometimes handle mirrors or metal framing. Their work helps buildings stay weather-tight, bright, secure, and safe for everyday use."
15442,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
15464,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15482,Dry Wall Taper (Finisher),Drywall Taper,Dry Wall Taper (Finisher),47-2082.00,"A Drywall Taper, also called a finisher, smooths and prepares drywall walls and ceilings for painting or wallpaper. They spread joint compound over seams and screw holes, press tape into joints, sand rough spots, and blend corners until surfaces look flat and clean. Their work makes rooms look finished and keeps walls smooth, solid, and ready to use."
15484,Sprinkler Fitter,Sprinkler Fitter,Sprinkler Fitter,47-2152.00,"A Sprinkler Fitter installs, repairs, and tests fire sprinkler systems in buildings. They measure and cut pipe, hang and join sections overhead, connect valves and sprinkler heads, and check water flow and pressure to make sure the system works properly. Their work helps protect people, property, and buildings from fire damage."
15498,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
15505,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15517,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
15531,Boilermaker (Construction),Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
15551,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
15580,Software Developer,Software Developer,Software Developer,15-1251.00,"A Software Developer creates and updates computer programs, apps, and digital systems. They write code, test features, fix bugs, review how software works, and work with teammates to turn ideas into tools people can use on screens every day. Their work builds and keeps digital services running for communication, shopping, work, and daily tasks."
15612,Teacher,Teacher,Teacher,25-2021.00,"A Teacher plans lessons, explains ideas, leads class activities, and helps students learn new skills and information. They teach from books, boards, screens, and hands-on materials, answer questions, mark work, and keep the classroom organized and focused each day. Their work builds knowledge, improves skills, and helps schools keep learning on track."
15614,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15730,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
15744,Plant Maintenance-Millwright,Plant Maintenance-Millwright,Plant Maintenance-Millwright,49-9044.00,"A Plant Maintenance-Millwright installs, moves, repairs, and lines up heavy machines in factories, plants, and mills. They take apart motors, pumps, conveyors, and gear systems, replace worn parts, use precision tools to set equipment correctly, and test it after repairs. Their work keeps production equipment running safely, smoothly, and with less downtime."
15784,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
15801,Industrial Manufacturing Technician,Industrial Manufacturing Technician,Industrial Manufacturing Technician,17-3026.00,"An Industrial Manufacturing Technician sets up, runs, and monitors machines that make parts and products in factories. They load materials, check measurements, adjust equipment, replace worn tools, and inspect finished items for quality while keeping the work area clean and safe. Their work keeps production lines running, products consistent, and equipment working properly."
15854,"Tile, Marble and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-3011.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for smooth finished surfaces. They mix mortar or grout, patch and level base layers, polish rough spots, clean edges, and help set tile, marble, or terrazzo into place. Their work helps surfaces last longer, look neat, and stay safe and easy to use."
15867,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
15888,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15902,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
15905,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
15921,Cook,Cook,Cook,35-2012.00,"A Cook prepares and cooks meals in places like restaurants, cafeterias, hospitals, or care homes. They chop ingredients, follow recipes, grill or bake food, watch cooking times, plate meals, and keep the kitchen clean and safe. Their work keeps people fed with meals that are ready on time, tasty, and safe to eat."
15922,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
15938,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
15964,Electro-Mechanical Technician,Electro-Mechanical Technician,Electro-Mechanical Technician,17-3024.00,"An Electro-Mechanical Technician installs, tests, repairs, and maintains machines that use both electrical parts and moving mechanical systems. They trace wiring, replace sensors or motors, adjust belts and gears, and use meters and tools to find problems. Their work keeps equipment running safely and smoothly in factories, buildings, and other workplaces."
15969,Childcare Assistant,Childcare Assistant,Childcare Assistant,39-9011.00,"A Childcare Assistant helps care for infants and young children in daycares, preschools, or after-school programs. They watch children closely, prepare snacks, help with play and learning activities, change diapers, tidy rooms, and support nap and outdoor time. Their work helps keep children safe, clean, active, and cared for each day."
16002,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16016,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
16020,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
16046,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
16087,Construction Manager,Construction Manager,Construction Manager,11-9021.00,"A Construction Manager plans and oversees building projects from start to finish. They schedule crews, order materials, track costs, inspect work on site, solve problems, and make sure jobs follow plans, codes, and safety rules. Their work keeps construction projects organized, on budget, and safe for workers and the people who use the finished buildings."
16091,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
16107,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
16141,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16150,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
16163,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16179,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
16186,Cook (Chef),Cook,Cook (Chef),35-2014.00,"A Cook prepares and cooks meals in places like restaurants, cafeterias, hospitals, or hotels. They chop and season ingredients, use grills, ovens, and stovetops, plate food, clean work areas, and follow food safety rules while keeping pace during busy meal times. Their work keeps people fed with meals that are safe, timely, and ready to serve."
16197,Plumber and Steamfitter,Plumber and Steamfitter,Plumber and Steamfitter,47-2152.00,"A Plumber and Steamfitter installs, repairs, and maintains water, drainage, gas, and steam piping systems in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, read blueprints, test for leaks, and work around boilers and pumps. Their work keeps water flowing, heat working, and buildings safe to use."
16200,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
16206,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16218,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16232,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
16276,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
16291,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
16335,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
16336,Automotive Service Technician,Automotive Service Technician,Automotive Service Technician,49-3023.00,"An Automotive Service Technician inspects, maintains, and repairs cars and light trucks. They test engines, brakes, steering, batteries, and computer systems, change fluids and worn parts, and use hand tools and diagnostic equipment in a busy shop. Their work keeps vehicles running reliably, improves fuel use, and makes roads safer."
16346,Biological Technician,Biological Technician,Biological Technician,19-4021.00,"A Biological Technician supports scientists by collecting samples, setting up experiments, caring for lab equipment, and recording results. They might test water, soil, plants, animals, or blood, prepare slides, use microscopes, and keep careful notes in a lab or out in the field. Their work helps improve research, monitor health, and keep natural systems and products safe."
16353,Energy Efficiency Technician,Energy Efficiency Technician,Energy Efficiency Technician,47-4011.01,"An Energy Efficiency Technician checks buildings and equipment to find where energy is being wasted. They test heating and cooling systems, inspect insulation, windows, and lighting, read meters, and suggest or help install upgrades that use less power. Their work lowers energy costs, improves comfort, and keeps homes and buildings running more efficiently."
16355,Junior Accountant,Junior Accountant,Junior Accountant,43-3031.00,"A Junior Accountant helps a business keep accurate financial records and track its money. They enter transactions, check invoices and receipts, prepare reports, reconcile bank statements, and help with payroll, budgets, and tax paperwork, often using accounting software and spreadsheets. Their work helps companies pay bills on time, follow rules, and make sound financial decisions."
16366,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
16392,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
16399,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
16407,Wastewater Systems Operation Specialist,Wastewater Systems Operation Specialist,Wastewater Systems Operation Specialist,51-8031.00,"A Wastewater Systems Operation Specialist runs and monitors the equipment that moves and cleans sewage at treatment plants and pump stations. They test water, adjust chemical levels, inspect pipes and tanks, record readings, and fix or report problems. Their work keeps wastewater systems running properly and protects public health, waterways, and the environment."
16418,Marketing Coordinator,Marketing Coordinator,Marketing Coordinator,13-1161.00,"A Marketing Coordinator helps plan and carry out marketing projects for a business or organization. They write social media posts, update website content, help create ads and email campaigns, organize events, track deadlines, and gather results from promotions. Their work helps businesses reach customers, keep messages clear, and support sales or public awareness."
16425,Plumber and Steamfitter,Plumber and Steamfitter,Plumber and Steamfitter,47-2152.00,"A Plumber and Steamfitter installs, repairs, and maintains water, drainage, gas, and steam piping systems in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, read blueprints, test for leaks, and work around boilers and pumps. Their work keeps water flowing, heat working, and buildings safe to use."
16431,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
16443,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
16496,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
16517,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
